0	0.069	0.064	0.06	5.689	5.959	4.131
1	0.077	0.07	0.073	5.283	5.275	3.562
2	0.081	0.074	0.074	4.524	4.776	3.081
3	0.078	0.073	0.073	3.93	4.261	2.393
5	0.083	0.077	0.071	2.097	2.877	1.296
7	0.089	0.077	0.072	0	1.189	0
10	0.129	0.092	0.067	0	0	0
13	0.104	0.071	0.066	0	0	0
16.5	0.088	0.061	0.063	0	0	0
